"image","caption","entities","relations"
"1382.png","A diagram showing the anterior view of the human heart with labeled parts.Titled as heart diagram.","heart diagram; anterior view of the heart aorta-to body artery to lungs; left ventricle; septum; valve; valve; valve; valve; major vein from upper body; vein from lungs; left atrium; left; right; right atrium; major vein from lower body; right ventricle; image of Valve","anterior view of the heart aorta-to body artery to lungs → image of Valve; anterior view of the heart aorta-to body artery to lungs → image of Valve; left ventricle → image of Valve; septum → image of Valve; valve → image of Valve; valve → image of Valve; valve → image of Valve; valve → image of Valve; major vein from upper body → image of Valve; vein from lungs → image of Valve; vein from lungs → image of Valve; left atrium → image of Valve; left → image of Valve; right → image of Valve; right atrium → image of Valve; major vein from lower body → image of Valve; right ventricle → image of Valve"
"1383.png","A diagram showing the human heart and its chambers with blood flow direction.","right atrium; aorta; left atrium; left ventricle; right ventricle; image of Heart","image of Heart → image of Heart; image of Heart → image of Heart; image of Heart → image of Heart; right atrium → image of Heart; aorta → image of Heart; left atrium → image of Heart; left ventricle → image of Heart; right ventricle → image of Heart"
"1384.png","A diagram showing the anatomy of the heart. Its title is: fig. 2.6: heart.","superior vena cava; aorta; pulmonary trunk; coronary arteries; left atrium; right atrium; right ventricle; left ventricle; fig. 2.6: heart; image of Aorta","superior vena cava → image of Aorta; aorta → image of Aorta; pulmonary trunk → image of Aorta; coronary arteries → image of Aorta; left atrium → image of Aorta; right atrium → image of Aorta; right ventricle → image of Aorta; left ventricle → image of Aorta"
"1385.png","A diagram showing the human digestive system. The image has a title: digestive system.","digestive system; salivary gland; gallbladder; large intestine (colon); appendix; esophagus; parotid gland; liver; anus; rectum; small intestine; pancreas; stomach; image of Head","salivary gland → image of Head; gallbladder → image of Head; large intestine (colon) → image of Head; appendix → image of Head; esophagus → image of Head; parotid gland → image of Head; liver → image of Head; anus → image of Head; rectum → image of Head; small intestine → image of Head; pancreas → image of Head; stomach → image of Head"
"1386.png","A diagram showing the human digestive system with labeled parts.","salivary glands; mouth; gall bladder; liver; oesophagus; stomach; large intestine; rectum; anus; appendix; small intestine; pancreas; image of Digestive system","salivary glands → image of Digestive system; mouth → image of Digestive system; gall bladder → image of Digestive system; liver → image of Digestive system; oesophagus → image of Digestive system; stomach → image of Digestive system; large intestine → image of Digestive system; rectum → image of Digestive system; anus → image of Digestive system; appendix → image of Digestive system; small intestine → image of Digestive system; pancreas → image of Digestive system"
"1387.png","A diagram showing the human alimentary canal. figure 6.6 human alimentary canal is the title.","mouth (buccal cavity); oesophagus; small intestine; large intestine (colon); anus; figure 6.6 human alimentary canal; tongue; diaphragm; gall bladder (stores bile); bile duct; liver -; pancreas; appendix.; stomach; image of Mouth","mouth (buccal cavity) → image of Mouth; oesophagus → image of Mouth; small intestine → image of Mouth; large intestine (colon) → image of Mouth; anus → image of Mouth; tongue → image of Mouth; diaphragm → image of Mouth; gall bladder (stores bile) → image of Mouth; bile duct → image of Mouth; liver - → image of Mouth; pancreas → image of Mouth; appendix. → image of Mouth; stomach → image of Mouth"
"1388.png","A diagram showing the human digestive system","stomach; pancreas; esophagus; sigmoid colon; rectum; anus; small intestine; colon; duodenum; gallbladder; liver; image of Digestive system","stomach → image of Digestive system; pancreas → image of Digestive system; esophagus → image of Digestive system; sigmoid colon → image of Digestive system; rectum → image of Digestive system; anus → image of Digestive system; small intestine → image of Digestive system; colon → image of Digestive system; duodenum → image of Digestive system; gallbladder → image of Digestive system; liver → image of Digestive system"
"1389.png","A diagram showing the human digestive system. The title is: digestive system.","teeth; mouth; rectum; digestive system; esophagus; liver; stomach; pancreas; gall bladder; large intestine; small intestine; appendix; image of Mouth","teeth → image of Mouth; mouth → image of Mouth; rectum → image of Mouth; esophagus → image of Mouth; liver → image of Mouth; stomach → image of Mouth; pancreas → image of Mouth; gall bladder → image of Mouth; large intestine → image of Mouth; small intestine → image of Mouth; appendix → image of Mouth"
"1390.png","A diagram showing the human digestive system. Titled as the digestive system.","the digestive system; mouth; oesophagus; liver; stomach; small intestine; large intestine ; rectum; teachers copyright www.tpet.co.uk; image of Mouth","mouth → image of Mouth; oesophagus → image of Mouth; liver → image of Mouth; stomach → image of Mouth; small intestine → image of Mouth; large intestine  → image of Mouth; rectum → image of Mouth; teachers copyright www.tpet.co.uk → I0"
"1391.png","A diagram showing the human digestive system","oesophagus; stomach; pancreas; large intestine; small intestine; liver.; gall bladder ; rectum; anus; image of Esophagus; image of Liver; image of Stomach","oesophagus → image of Esophagus; stomach → image of Esophagus; pancreas → image of Esophagus; large intestine → image of Esophagus; small intestine → image of Esophagus; liver. → image of Esophagus; gall bladder  → image of Esophagus; rectum → image of Esophagus; anus → image of Esophagus"
"1392.png","A diagram showing the human digestive system","mouth; teeth; - anus; 2010 enclyclopaedia britannica, inc.; appendix -; small intestine; large intestine; gallbladder; pancreas; tongue-; epiglottis; salivary glands; -pharynx; esophagus; liver; stomach; -rectum; image of Esophagus","mouth → image of Esophagus; teeth → image of Esophagus; - anus → image of Esophagus; 2010 enclyclopaedia britannica, inc. → I0; appendix - → image of Esophagus; small intestine → image of Esophagus; large intestine → image of Esophagus; gallbladder → image of Esophagus; pancreas → image of Esophagus; tongue- → image of Esophagus; epiglottis → image of Esophagus; salivary glands → image of Esophagus; -pharynx → image of Esophagus; esophagus → image of Esophagus; esophagus → image of Esophagus; liver → image of Esophagus; stomach → image of Esophagus; -rectum → image of Esophagus; -rectum → image of Esophagus"
"1393.png","A diagram showing the human digestive system","mouth; esophagus; -stomach; pancreas; small intestine; liver; gallbladder; large intestine (colon); rectum; image of Digestive organs","mouth → image of Digestive organs; esophagus → image of Digestive organs; -stomach → image of Digestive organs; pancreas → image of Digestive organs; small intestine → image of Digestive organs; liver → image of Digestive organs; gallbladder → image of Digestive organs; large intestine (colon) → image of Digestive organs; rectum → image of Digestive organs"
"1394.png","A diagram showing the human digestive system","salivary glands: parotid gland; pancreas; large intestine:; transverse colon; ascending colon; descending colon; cecum; sigmoid colon; appendix; - rectum; anal canal; sublingual gland; gallbladder; small intestine: duodenum; jejunum; iieum; anus; submandibular gland; mouth; tongue -; esophagus; liver; stomach; spleen; image of Salivary glands","salivary glands: parotid gland → image of Salivary glands; pancreas → image of Salivary glands; large intestine: → image of Salivary glands; transverse colon → image of Salivary glands; ascending colon → image of Salivary glands; descending colon → image of Salivary glands; cecum → image of Salivary glands; sigmoid colon → image of Salivary glands; appendix → image of Salivary glands; - rectum → image of Salivary glands; anal canal → image of Salivary glands; sublingual gland → image of Salivary glands; gallbladder → image of Salivary glands; small intestine: duodenum → image of Salivary glands; jejunum → image of Salivary glands; iieum → image of Salivary glands; anus → image of Salivary glands; submandibular gland → image of Salivary glands; mouth → image of Salivary glands; tongue - → image of Salivary glands; esophagus → image of Salivary glands; liver → image of Salivary glands; stomach → image of Salivary glands; spleen → image of Salivary glands"
"1395.png","A diagram showing the human digestive system","esophagus; stomach; liver; large intestine; small intestine; rectum; anus; image of Digestive system","esophagus → image of Digestive system; stomach → image of Digestive system; liver → image of Digestive system; large intestine → image of Digestive system; small intestine → image of Digestive system; rectum → image of Digestive system; anus → image of Digestive system"
"1396.png","A diagram showing the components of the human digestive system. Its title is: the components of the digestive system.","salivary glands; mouth; anus; the components of the digestive system; pharynx-; liver; gallbladder; small intestine; large intestine-; esophagus; stomach; pancreas; image of Pharynx","salivary glands → image of Pharynx; mouth → image of Pharynx; anus → image of Pharynx; pharynx- → image of Pharynx; liver → image of Pharynx; gallbladder → image of Pharynx; small intestine → image of Pharynx; large intestine- → image of Pharynx; esophagus → image of Pharynx; stomach → image of Pharynx; pancreas → image of Pharynx"
"1397.png","A diagram showing the human digestive system","b; c\; image of Head","b → image of Head; c\ → image of Head"
"1398.png","A diagram showing the human digestive system","a; b; c; d; image of Digestive system","a → image of Digestive system; b → image of Digestive system; c → image of Digestive system; d → image of Digestive system"
"1399.png","A diagram showing the human digestive system with labeled parts.","a; b; c; d; image of Esophagus","a → image of Esophagus; b → image of Esophagus; c → image of Esophagus; d → image of Esophagus"
"1400.png","A diagram showing the human digestive system","a; b; c; d; e; image of Digestive system","a → image of Digestive system; b → image of Digestive system; c → image of Digestive system; d → image of Digestive system; e → image of Digestive system"
"1401.png","A diagram showing the human respiratory system","nose; mouth; trachea; lungs; diaphragm; image of Respiratory system","nose → image of Respiratory system; mouth → image of Respiratory system; trachea → image of Respiratory system; lungs → image of Respiratory system; diaphragm → image of Respiratory system"
"1402.png","A diagram showing the human respiratory system with labeled parts.Titled as the respiratory system.","sphenoidal sinus; nasal cavity-; trachea; bronchus; -bronchioles; left lung; the respiratory system; pharynx; alveoli-; right lung; diaphragm ; frontal sinus; nasal conchae; nose; -larynx; image of Head","sphenoidal sinus → image of Head; nasal cavity- → image of Head; trachea → image of Head; bronchus → image of Head; -bronchioles → image of Head; left lung → image of Head; pharynx → image of Head; alveoli- → image of Head; right lung → image of Head; diaphragm  → image of Head; frontal sinus → image of Head; nasal conchae → image of Head; nose → image of Head; -larynx → image of Head"
"1403.png","A diagram showing the human respiratory system","nasal cavity; oral cavity; epiglottis; pharynx; tongue; trachea; pleura; right lung; diaphragm; left lung; bronchus; larynx; image of Respiratory system","nasal cavity → image of Respiratory system; oral cavity → image of Respiratory system; epiglottis → image of Respiratory system; pharynx → image of Respiratory system; tongue → image of Respiratory system; trachea → image of Respiratory system; trachea → image of Respiratory system; pleura → image of Respiratory system; right lung → image of Respiratory system; diaphragm → image of Respiratory system; left lung → image of Respiratory system; bronchus → image of Respiratory system; larynx → image of Respiratory system"
"185.png","A diagram showing the human digestive system","liver; esophagus; stomach; large intestine; small intestine; image of Digestive system","liver → image of Digestive system; esophagus → image of Digestive system; stomach → image of Digestive system; large intestine → image of Digestive system; small intestine → image of Digestive system"
"2844.png","A diagram showing the muscular system of the human body","rectus abdominis; biceps brachii; vastus medialis; vastus lateralis; exertnal oblique; deltoid; masseter; pectoralis major; brachioradialis; sarotrius; rectus-femoris; gastrocnemius; tibialis anterior; image of Muscles","rectus abdominis → image of Muscles; biceps brachii → image of Muscles; vastus medialis → image of Muscles; vastus lateralis → image of Muscles; exertnal oblique → image of Muscles; deltoid → image of Muscles; masseter → image of Muscles; pectoralis major → image of Muscles; brachioradialis → image of Muscles; sarotrius → image of Muscles; rectus-femoris → image of Muscles; gastrocnemius → image of Muscles; tibialis anterior → image of Muscles"
"2845.png","A diagram showing the muscle groups of the human body from the front view. Its title is: front view.","4everfitness.co.uk; calves; front view; quadriceps; abs; forearms; biceps; chest; shoulders; traps; neck; image of Neck","4everfitness.co.uk → I0; calves → image of Neck; quadriceps → image of Neck; abs → image of Neck; forearms → image of Neck; biceps → image of Neck; chest → image of Neck; shoulders → image of Neck; traps → image of Neck; neck → image of Neck"
"2849.png","A diagram showing the anterior view of human muscular anatomy with labeled muscles.labeled muscle diagram is the title.","pectorals; anterior view (front view); labeled muscle diagram; rectus femoris (quadriceps); obliques; rectus abdominis; biceps brachii; image of Title","pectorals → image of Title; rectus femoris (quadriceps) → image of Title; obliques → image of Title; rectus abdominis → image of Title; biceps brachii → image of Title"
"2850.png","A diagram showing the muscular system of the human body","biceps brachii; brachialis; abdominal external oblique; rectus abdominis; pectoralis major; deltoid; rotator cuff; pronator teres; brachioradialis; adductor muscles; tibialis anterior; peroneus brevis; peroneus longus; quadriceps femoris; iliopsoas; image of Muscles","biceps brachii → image of Muscles; brachialis → image of Muscles; abdominal external oblique → image of Muscles; rectus abdominis → image of Muscles; pectoralis major → image of Muscles; deltoid → image of Muscles; rotator cuff → image of Muscles; pronator teres → image of Muscles; adductor muscles → image of Muscles; tibialis anterior → image of Muscles; peroneus brevis → image of Muscles; peroneus longus → image of Muscles; quadriceps femoris → image of Muscles; iliopsoas → image of Muscles"
"2851.png","A diagram showing the muscular system of a human body with labeled muscles.","deltoid; frontalis; pectoralis; biceps; tibialis-anterior; quadriceps; image of Frontalis","deltoid → image of Frontalis; frontalis → image of Frontalis; pectoralis → image of Frontalis; biceps → image of Frontalis; tibialis-anterior → image of Frontalis; quadriceps → image of Frontalis"
"2853.png","A diagram showing the structure of the hair bulb. The title is: the structure of the hair bulb.","inner root sheath; connective tissue layer; cuticle of inner root sheath; outer root sheath; henle's layer; huxley's layer; keratinization zone; melanocytes; cavity of dermal papilla; dividing cells; the structure of the hair bulb; medulla; cortex; hair cuticle; image of Medulla","inner root sheath → image of Medulla; connective tissue layer → image of Medulla; cuticle of inner root sheath → image of Medulla; outer root sheath → image of Medulla; henle's layer → image of Medulla; huxley's layer → image of Medulla; keratinization zone → image of Medulla; melanocytes → image of Medulla; cavity of dermal papilla → image of Medulla; dividing cells → image of Medulla; medulla → image of Medulla; cortex → image of Medulla; hair cuticle → image of Medulla"
"2854.png","A diagram showing the different parts of the human brain with labeled sections.","central sulcus; prefrontal lobe; frontal lobe; parietal lobe; occipital lobe; cerebellum; medulla; pons; temporal lobe; sylvian fissure; image of Parietal lobe","central sulcus → image of Parietal lobe; prefrontal lobe → image of Parietal lobe; frontal lobe → image of Parietal lobe; parietal lobe → image of Parietal lobe; occipital lobe → image of Parietal lobe; cerebellum → image of Parietal lobe; pons → image of Parietal lobe; temporal lobe → image of Parietal lobe; sylvian fissure → image of Parietal lobe"
"2857.png","A diagram showing the anatomy of the human eye","vitreous gel; optic nerve; macula; fovea; retina; iris; lens; pupil; cornea; iris; image of Iris","vitreous gel → image of Iris; optic nerve → image of Iris; macula → image of Iris; fovea → image of Iris; retina → image of Iris; iris → image of Iris; lens → image of Iris; pupil → image of Iris; cornea → image of Iris; iris → image of Iris"
"2858.png","A diagram showing the anatomy of the human lungs. The title is: diagram of the human lungs.","diagram of the human lungs; right main stem bronchus; diaphragm; alveoli; right lobes; trachea; bronchioles; left main stem bronchus; bronchi; left lobes; pleura; pleural; image of Trachea","right main stem bronchus → image of Trachea; diaphragm → image of Trachea; alveoli → image of Trachea; right lobes → image of Trachea; trachea → image of Trachea; bronchioles → image of Trachea; left main stem bronchus → image of Trachea; bronchi → image of Trachea; left lobes → image of Trachea; pleura → image of Trachea; pleural → image of Trachea"
"2860.png","A diagram showing the anatomy of the human ear","outer ear ; malleus (hammer); tympanum (eardrum); middle ear ; incus (anvil); organs of balance; stapes (strirrup); nerves to the central auditory system and brain ; inner ear (cochlea); eustachian tube ; ear canal ; pinna; image of Eustachian Tube","outer ear  → image of Eustachian Tube; malleus (hammer) → image of Eustachian Tube; tympanum (eardrum) → image of Eustachian Tube; middle ear  → image of Eustachian Tube; incus (anvil) → image of Eustachian Tube; organs of balance → image of Eustachian Tube; stapes (strirrup) → image of Eustachian Tube; nerves to the central auditory system and brain  → image of Eustachian Tube; inner ear (cochlea) → image of Eustachian Tube; eustachian tube  → image of Eustachian Tube; ear canal  → image of Eustachian Tube; pinna → image of Eustachian Tube"
"2861.png","A diagram showing the anatomy of the human eye","anterior chamber; iris; vitreous gel; cornea; pupil; lens; iris; retina; fovea; macula; optic nerve; image of Iris","anterior chamber → image of Iris; iris → image of Iris; vitreous gel → image of Iris; cornea → image of Iris; pupil → image of Iris; lens → image of Iris; iris → image of Iris; retina → image of Iris; fovea → image of Iris; macula → image of Iris; optic nerve → image of Iris"
"2863.png","A diagram showing the respiratory system including the sinuses, adenoids, tonsils, pharynx, larynx, trachea, lungs, and their respective lobes.the chest and lungs is the title.","the chest and lungs; lower lobe; lung; pleura; bronchus; middle lobe; upper lobe; sinuses drain into nose; adenoids; tonsils; pharynx; larynx; trachea; image of Label","lower lobe → image of Label; lung → image of Label; pleura → image of Label; bronchus → image of Label; middle lobe → image of Label; upper lobe → image of Label; sinuses drain into nose → image of Label; adenoids → image of Label; tonsils → image of Label; pharynx → image of Label; larynx → image of Label; trachea → image of Label"
"2864.png","A diagram showing the different parts of the human brain.Titled as parts of the human brain.","spinal cord; cerebellum; occipital lobe; parts of the human brain; parietal lobe; frontal lobe; temporal lobe; image of Brain","spinal cord → image of Brain; cerebellum → image of Brain; occipital lobe → image of Brain; parietal lobe → image of Brain; frontal lobe → image of Brain; temporal lobe → image of Brain"
"2866.png","A diagram showing the anatomy of the human ear,","semicircular canals; cochlea; cochlear nerve; round window; eustachian tube; internal carotid artery; styloid bone; tympanic membrane (ear drum); opening to nasopharynx; auditory canal; inner ear; incus (anvil); temporal bone; stapes (stirrup); malleus (hammer); middle ear; pinna; vestibular nerve; image of Eustachian tube","semicircular canals → image of Eustachian tube; cochlea → image of Eustachian tube; cochlear nerve → image of Eustachian tube; round window → image of Eustachian tube; eustachian tube → image of Eustachian tube; internal carotid artery → image of Eustachian tube; internal carotid artery → image of Eustachian tube; styloid bone → image of Eustachian tube; tympanic membrane (ear drum) → image of Eustachian tube; opening to nasopharynx → image of Eustachian tube; auditory canal → image of Eustachian tube; inner ear → image of Eustachian tube; incus (anvil) → image of Eustachian tube; temporal bone → image of Eustachian tube; stapes (stirrup) → image of Eustachian tube; malleus (hammer) → image of Eustachian tube; middle ear → image of Eustachian tube; pinna → image of Eustachian tube; vestibular nerve → image of Eustachian tube"
"2868.png","A diagram showing the anatomy of human skin and hair structure","papilla; hair follicle wall; fat; vein; artery; hair shaft; epidermis; hair root; dermis; sebaceous gland; hair bulb; dermal blood vessel; subcutaneous layer; image of Skin layers","papilla → image of Skin layers; hair follicle wall → image of Skin layers; fat → image of Skin layers; vein → image of Skin layers; artery → image of Skin layers; hair shaft → image of Skin layers; epidermis → image of Skin layers; hair root → image of Skin layers; dermis → image of Skin layers; sebaceous gland → image of Skin layers; hair bulb → image of Skin layers; dermal blood vessel → image of Skin layers; subcutaneous layer → image of Skin layers"
"2869.png","A diagram showing the anatomy of a tooth","enamel; gum; dentin; pulp; root; image of Tooth","enamel → image of Tooth; gum → image of Tooth; dentin → image of Tooth; pulp → image of Tooth; root → image of Tooth"
"2870.png","A diagram showing the anatomy of human lungs with a detailed inset of alveoli.The title is: lungs.","breathmatters.org; lungs; left lobes; bronchioles; bronchi; right main stem bronchus; right lobes; stomach diaphragm; left stem bronchus; pleural fluid; trachea; pleura; alveoli; image of ; image of Alveoli","breathmatters.org → I0; left lobes → image of ; bronchioles → image of ; bronchi → image of ; right main stem bronchus → image of ; right lobes → image of ; stomach diaphragm → image of ; left stem bronchus → image of ; pleural fluid → image of ; trachea → image of ; pleura → image of ; alveoli → image of Alveoli"
"2872.png","A diagram showing the anatomy of human hair and its surrounding structures.Its title is: hair anatomy.","cuticle; sweat gland; designua | dreamstime.com; hair anatomy; hair shaft; arrector pili muscle; medulla; cortex; sebaceous gland; nerve; hair root; hair bulb in follicle; dermal papilla; blood vessels; download from dreamstime.com this watermarked comp image is for previewing purposes only.; 35012099; image of Hair structure; image of Hair layers","cuticle → image of Hair layers; sweat gland → image of Hair structure; designua | dreamstime.com → I0; hair shaft → image of Hair structure; arrector pili muscle → image of Hair structure; medulla → image of Hair layers; cortex → image of Hair layers; sebaceous gland → image of Hair structure; nerve → image of Hair structure; hair root → image of Hair structure; hair bulb in follicle → image of Hair structure; dermal papilla → image of Hair structure; blood vessels → image of Hair structure; download from dreamstime.com this watermarked comp image is for previewing purposes only. → I0; 35012099 → I0"
